export_id,id,title,category,category_label,section,source,keywords,content,last_updated
1,1750961349597,What should I do if the e-sign link shows an error?,application-processing,Application Processing & General Operations,Manual Entry,Tick Tock Loans Knowledge Base v1,e-sign | error | application completed | card declined | underwriting | cache | portal,"Check the account stage first:
•	If at ""Application Completed"": The customer must authorize their debit card via the online portal at www.ticktockloans.com
•	If at ""Card Declined"": They need to reattempt verification via the portal
•	If at ""Underwriting"": The application is under review
•	If still at ""e-sign"": Test the link. If the issue persists, ask the customer to clear their cache and try again. Escalate with a screenshot if necessary.
",2025-07-03
2,1751036537838,What happens if the first repayment date is within a few days of the application date?,application-processing,Application Processing & General Operations,Manual Entry,Tick Tock Loans Knowledge Base v1,first repayment date | payday | daily interest | 0.8% | principal,"You can select the customer's following payday; however, you must inform them of the additional cost, as daily interest will accrue during this period at a rate of 0.8% of the outstanding principal per day.",2025-06-27
3,1751036573919,What if the customer has no additional income?,application-processing,Application Processing & General Operations,Manual Entry,Tick Tock Loans Knowledge Base v1,additional income | £00.00 | application | field,"They must still enter £00.00 in the additional income field, otherwise they will not be able to proceed with the application.",2025-06-27
4,1751036770778,Customer Portal & Login Issues,customer-portal,Customer Portal & Login Issues,Manual Entry,Tick Tock Loans Knowledge Base v1,password reset | forgot password | email | surname | CRM | reset | password | how do I request,"Go to www.ticktockloans.com, click 'Forgot Password,' and enter their email and surname exactly as it appears in CRM.",2025-08-08
5,1751036929355,What causes login issues after a password reset?,customer-portal,Customer Portal & Login Issues,Manual Entry,Tick Tock Loans Knowledge Base v1,login issues | password reset | spaces | case sensitivity | copy paste,Usually due to extra spaces or case sensitivity in the email or password. Ask the customer to copy and paste the password from our email into the login page.,2025-06-27
6,1751036959495,What should I do if the 'My Card' section is missing in the portal?,customer-portal,Customer Portal & Login Issues,Manual Entry,Tick Tock Loans Knowledge Base v1,My Card | missing | portal | refresh page,Ask the customer to refresh the page—it should appear afterward.,2025-06-27
7,1751037008160,When can a customer be rolled back from Collections to Funds Sent?,collections-account,Collections & Account Status Management,Manual Entry,Tick Tock Loans Knowledge Base v1,rollback | collections | funds sent | missed payment | arrangement,If they make the missed payment or set up a new arrangement.,2025-06-27
8,1751037035721,When should a customer be moved from Collections to a Payment Plan?,collections-account,Collections & Account Status Management,Manual Entry,Tick Tock Loans Knowledge Base v1,collections | payment plan | M0 | M1 | M2 | DMC | hold | arrangement,"If they make a payment or set up an arrangement while in M0, M1, M2, DMC, or Hold stages.",2025-06-27
9,1751037077719,What types of schedules are available?,payment-plans,Payment Plans & Scheduling,Manual Entry,Tick Tock Loans Knowledge Base v1,payplan | amounts | duration | fixed monthly payments | months,"Payplan by Amounts (fixed monthly payments)
Payplan by Duration (based on number of months)
",2025-06-27
10,1751038559545,What payment methods can be used in a new schedule?,payment-plans,Payment Plans & Scheduling,Manual Entry,Tick Tock Loans Knowledge Base v1,payment methods | manual | phone | bank transfer | card | CPA,Manual (via phone or bank transfer) or Card (CPA payments).,2025-06-27
11,1751038626722,What details must be entered for a new payment plan?,payment-plans,Payment Plans & Scheduling,Manual Entry,Tick Tock Loans Knowledge Base v1,payment plan | repayment method | amount | payments | date | frequency | interest,"Repayment method, amount (£) or number of payments, first payment date, payment frequency, and interest settings.",2025-06-27
12,1751038665795,Can the first or second payment in a plan be adjusted?,payment-plans,Payment Plans & Scheduling,Manual Entry,Tick Tock Loans Knowledge Base v1,first payment | second payment | adjust | additional info | schedule setup,"Yes, this can be done via the 'Additional Info' section during schedule setup.",2025-06-27
13,1751038722035,When should interest continue during a payment plan?,payment-plans,Payment Plans & Scheduling,Manual Entry,Tick Tock Loans Knowledge Base v1,interest | payment plan | price cap,Only if the price CAP has not yet been reached.,2025-06-27
14,1751038751160,How does a customer evidence their income?,income-evidence,Income Evidence & Verification,Manual Entry,Tick Tock Loans Knowledge Base v1,evidence income | payslip | bank statement | salary credits | 30 days,By sending their most recent payslip or a bank statement showing salary credits within the last 30 days.,2025-06-27
15,1751039987498,The customer says they've never had to provide proof of income before. What should I say?,income-evidence,Income Evidence & Verification,Manual Entry,Tick Tock Loans Knowledge Base v1,proof of income | repeat lending policy | income verification | application,"Explain that, in line with our repeat lending policy, income verification is required. Without this, we cannot proceed with the application.",2025-06-27
16,1751040106440,What email should I send when asking a customer to evidence income?,income-evidence,Income Evidence & Verification,Manual Entry,Tick Tock Loans Knowledge Base v1,email ID 62 | payslip | bank statement | email dropdown,Use Email ID 62 -- Payslip / Bank Statement email. Type this into the email dropdown—it will appear at the top.,2025-06-27
